Experiment,batch_size,accuracy,loss,val_acc,val_loss,seconds,processor
custom_images,16,0.5665322542,1.082749844,0.8125,1.135253906,104.2322643,TPU
custom_images,32,0.5591397882,1.093353629,0.5,1.158691406,76.20833683,TPU
custom_images,64,0.5118886232,1.190801263,0.46875,1.387695313,60.15414953,TPU
custom_images,128,0.4955842495,1.209133029,0.4296875,1.330078125,49.53631544,TPU
custom_images,256,0.4250710309,1.307350874,0.42578125,1.37890625,43.66381025,TPU
custom_images,348,0.4669540226,1.257015586,0.4195402265,1.318336964,47.06512475,TPU
custom_images,512,0.3937500119,1.365820289,0.408203125,1.340820313,35.34678292,TPU
custom_images,640,0.390625,1.369873047,0.482812494,1.357421875,33.33634663,TPU
custom_images,16,0.549395144,1.097900391,0.875,1.228515625,95.45067763,GPU
custom_images,32,0.5060483813,1.184580803,0.625,1.330078125,87.76092649,GPU
custom_images,64,0.5129076242,1.165007234,0.609375,1.284179688,77.01523376,GPU
custom_images,128,0.4470108747,1.25025475,0.484375,1.338867188,80.5604372,GPU
basic_mnist,128,0.9697999954,0.09659757465,0.03819274902,0.9865999818,80.41629052,TPU
basic_mnist,256,0.9679833651,0.1061263382,0.04082489014,0.9873999953,46.44146466,TPU
basic_mnist,384,0.9616667032,0.1285225898,0.0446472168,0.9849999547,34.04251218,TPU
basic_mnist,512,0.9502666593,0.1691092104,0.06112670898,0.9801999927,28.21166587,TPU
basic_mnist,640,0.9483166933,0.1723942012,0.05709838867,0.9813999534,24.24907565,TPU
basic_mnist,768,0.9375166893,0.2057655901,0.07305908203,0.9761999846,21.71686316,TPU
basic_mnist,896,0.9405166507,0.2014074177,0.06407165527,0.9797999859,19.44948006,TPU
basic_mnist,1024,0.9453833699,0.1792632788,0.05912780762,0.9808999896,18.50067878,TPU
basic_mnist,128,0.9707166553,0.09659679234,0.0439125374,0.9853000045,36.17692542,GPU
basic_mnist,256,0.9657333493,0.1124283969,0.04145297781,0.9878000021,17.81799126,GPU
basic_mnist,384,0.9535999894,0.1536723971,0.05317774788,0.9833999872,21.03191853,GPU
basic_mnist,512,0.955516696,0.1469165683,0.04732579738,0.9846000075,14.23634028,GPU
basic_mnist,640,0.9460333586,0.1793871373,0.05960066989,0.9804000258,13.62423015,GPU
basic_mnist,768,0.9407333136,0.1942807883,0.06462740153,0.9786000252,21.07693768,GPU
basic_mnist,896,0.9427499771,0.188922286,0.06599067152,0.9779999852,21.07067561,GPU
basic_mnist,1024,0.9353333116,0.2168757617,0.08046591282,0.9757000208,12.5824964,GPU
boosted_mnist,128,0.9973458052,0.009046318009,0.9951999784,0.01654549688,25.25579095,TPU
boosted_mnist,256,0.9982806444,0.006249664817,0.9932000041,0.01715212315,16.65926933,TPU
boosted_mnist,384,0.9977297783,0.007896061055,0.9929999709,0.01926748082,14.14496398,TPU
boosted_mnist,512,0.9983474016,0.006874224171,0.9935999513,0.01915446669,14.46429849,TPU
boosted_mnist,640,0.9980342984,0.007496854756,0.9934999943,0.02025450952,13.25569391,TPU
boosted_mnist,768,0.9977130294,0.008674068376,0.991599977,0.02040938288,12.76175594,TPU
boosted_mnist,896,0.9964488745,0.0136098424,0.9914000034,0.0225695651,12.72296619,TPU
boosted_mnist,1024,0.9974238873,0.009861875325,0.9924999475,0.02058292553,12.64976811,TPU
boosted_mnist,128,0.9992988706,0.00352402986,0.9948999882,0.01691104099,35.71672034,GPU
boosted_mnist,256,0.9991987348,0.004565021954,0.9934999943,0.01973064244,20.41395593,GPU
boosted_mnist,384,0.9984308481,0.007009158842,0.9929999709,0.01904462278,21.69438505,GPU
boosted_mnist,512,0.998347342,0.007292901166,0.9937999845,0.01896052808,21.69299412,GPU
boosted_mnist,640,0.9976142645,0.00933981128,0.992299974,0.02294793352,20.34008074,GPU
boosted_mnist,768,0.9973791242,0.01126889884,0.9919000268,0.02127452381,19.72732401,GPU
boosted_mnist,896,0.9965503216,0.01312069502,0.9919000268,0.02344953083,21.68785214,GPU
boosted_mnist,1024,0.9958748817,0.01605047099,0.9901999831,0.03018496744,21.6911304,GPU
resnet-50,16,0.9801747203,0.06822125614,1,0.0009553812561,119.7767992,TPU
resnet-50,32,0.9892473221,0.03624503687,0.9375,0.09002757072,112.7992718,TPU
resnet-50,64,0.9904891253,0.03884252161,0.421875,1.566564202,105.0383835,TPU
resnet-50,128,0.9921875,0.02893414535,0.3203125,3.77069664,102.7581999,TPU
resnet-50,256,0.9946733117,0.01763044111,0.234375,2.39198494,103.2138753,TPU
resnet-50,348,0.9918155074,0.02595932782,0.2369791716,5.744851112,103.7823255,TPU
resnet-50,512,0.9957031608,0.02862130478,0.244140625,2.697005749,104.3892896,TPU
resnet-50,640,0.9968749881,0.01665909961,0.243750006,2.126930237,103.0967758,TPU
resnet-50,16,0.994623661,0.02634268254,1,0.02653236501,698.3388913,GPU
resnet-50,32,0.9959677458,0.01578706317,0.9375,0.1330964565,668.1593833,GPU
resnet-50,64,0.9972826242,0.009988490492,0.5,1.208782792,657.7434089,GPU
VGG16,16,0.9065859914,0.2625998557,1,0.07523795962,55.66926932,TPU
VGG16,32,0.9119623899,0.2413941473,0.875,0.2799313068,48.06705165,TPU
VGG16,64,0.9473505616,0.1443350166,0.890625,0.2490372658,47.92165565,TPU
VGG16,128,0.9419157505,0.1596953124,0.9375,0.1897181273,50.72428656,TPU
VGG16,256,0.9360795617,0.165539816,0.921875,0.2294986844,52.39634442,TPU
VGG16,348,0.2410714328,1.606578827,0.2369791716,1.602546096,55.41057849,TPU
VGG16,512,0.8347656131,0.4507583678,0.849609375,0.4249797761,48.5125041,TPU
VGG16,640,0.7300781608,0.7065104842,0.7531250119,0.618678987,52.06324434,TPU
VGG16,16,0.9489247203,0.1411976516,0.875,0.2344937921,150.4909708,GPU
VGG16,32,0.9697580934,0.08948193491,0.90625,0.5559264421,159.7707558,GPU
VGG16,64,0.9483695626,0.1489054859,0.875,0.4377874732,149.6705902,GPU
VGG16,128,0.953125,0.1366302222,0.9140625,0.2836369574,157.1793845,GPU
MobilenetV2,16,0.9358198643,0.1830463856,0.9375,0.146866411,81.79373312,TPU
MobilenetV2,32,0.9519489408,0.1355648488,0.9375,0.5824677944,78.66022277,TPU
MobilenetV2,64,0.9758831859,0.07908530533,0.859375,0.6134094,75.70890999,TPU
MobilenetV2,128,0.9908288121,0.03877428174,0.765625,1.106432438,73.84862685,TPU
MobilenetV2,256,0.9914773107,0.03149794415,0.83203125,0.7230197787,74.1691792,TPU
MobilenetV2,348,0.993303597,0.03264821321,0.8307291865,0.7844430804,56.55162668,TPU
MobilenetV2,512,0.9859375358,0.04686411098,0.837890625,0.6914100647,51.53385711,TPU
MobilenetV2,640,0.9851562381,0.05523514748,0.7734375,0.9800815582,55.67454267,TPU
MobilenetV2,16,0.9831989408,0.04923031852,1,0.01950572804,154.718523,GPU
MobilenetV2,32,0.9936155677,0.01973718219,0.9375,0.2788593173,117.4838371,GPU
MobilenetV2,64,0.9976223111,0.01489579398,0.890625,0.4071425796,93.81983185,GPU
MobilenetV2,128,0.998980999,0.01394644659,0.8203125,0.5411756635,104.6487527,GPU
Xception,16,0.9963037372,0.01228810661,1,0.002304592635,1289.780545,GPU
Xception,32,0.9989919066,0.005855638534,0.96875,0.1329116672,1349.071029,GPU
Xception,16,0.9862231016,0.04022004083,1,0.01332916506,140.0474167,TPU
Xception,32,0.9922714829,0.02566197701,0.96875,0.1471338719,114.6071537,TPU
Xception,64,0.9949049354,0.02056916803,0.953125,0.1664062142,98.39658284,TPU
Xception,128,0.9952445626,0.01915229112,0.9453125,0.1619571298,104.0483174,TPU
Xception,256,0.9968039989,0.01509943791,0.953125,0.1641070843,108.8906128,TPU
Xception,348,0.9973958731,0.01482247189,0.9479166865,0.1372713149,101.8146176,TPU
Xception,512,0.9949218631,0.01633694768,0.93359375,0.2106324285,99.77743602,TPU
Xception,640,0.9910156131,0.02580010705,0.921875,0.2335905582,101.4128683,TPU